                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.0086,                 1.7625,                0.68235,                 1.0778,                0.68058,                0.54995,                0.60758,                0.33749,                0.61977,                0.50192,                0.50017,                0.18439,                 1.5898,                 2.3841,                 1.2018,                 1.5568,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.0152,                 1.7607,                0.68318,                 1.0813,                0.65194,                0.60865,                 0.6029,                0.31892,                0.57692,                0.53862,                0.48464,                0.17936,                 1.5851,                 2.3387,                 1.1929,                 1.5369,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.0186,                 1.7685,                0.68697,                 1.0858,                0.64374,                0.55304,                0.57598,                0.31417,                0.59152,                0.49215,                0.47011,                0.18101,                 1.5865,                 2.3826,                  1.299,                 1.5529,              0.0095248,              0.0095248,              0.0095248
                     51,                0.99604,                 1.7372,                0.67175,                 1.0748,                 0.6218,                0.58702,                0.58527,                0.31944,                0.58112,                0.52293,                0.50313,                0.18993,                 1.6289,                 2.3548,                 1.2587,                  1.566,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.0101,                 1.7506,                0.67144,                 1.0787,                0.66964,                0.56437,                0.59453,                0.31668,                0.60281,                0.50772,                0.48889,                0.18376,                 1.6045,                 2.3681,                 1.2165,                 1.5441,               0.009505,               0.009505,               0.009505
                     53,                0.99066,                 1.7185,                0.66179,                 1.0695,                0.65303,                0.56849,                0.58106,                0.31716,                0.59592,                 0.5139,                0.48036,                0.17515,                 1.6159,                 2.4051,                 1.2011,                 1.5823,              0.0094951,              0.0094951,              0.0094951
                     54,                0.98517,                 1.7077,                0.67043,                 1.0699,                0.67016,                 0.5757,                0.60752,                0.32833,                0.65542,                0.48095,                0.48808,                 0.1848,                 1.6229,                 2.4569,                 1.2774,                 1.5969,              0.0094852,              0.0094852,              0.0094852
                     55,                0.99462,                 1.7291,                0.65785,                 1.0664,                0.62451,                0.56643,                0.56594,                0.30725,                0.55126,                0.48962,                0.44016,                0.16108,                 1.6296,                 2.3968,                  1.287,                 1.5893,              0.0094753,              0.0094753,              0.0094753
                     56,                0.98561,                 1.6988,                0.65154,                 1.0654,                0.66083,                0.57055,                0.58319,                 0.3081,                0.59401,                 0.5063,                0.46807,                0.17219,                 1.6277,                 2.4372,                 1.2202,                 1.5901,              0.0094654,              0.0094654,              0.0094654
                     57,                0.98078,                 1.6955,                0.65455,                 1.0568,                0.63306,                0.57212,                0.57407,                0.30607,                0.56523,                0.51081,                0.46647,                0.16773,                 1.6188,                 2.4223,                 1.3141,                 1.5937,              0.0094555,              0.0094555,              0.0094555
                     58,                0.96882,                 1.6897,                0.65393,                 1.0637,                0.64782,                0.60556,                0.60675,                0.33642,                 0.5803,                0.53759,                0.49383,                0.18679,                 1.6014,                 2.4766,                 1.1858,                 1.6099,              0.0094456,              0.0094456,              0.0094456
                     59,                0.97249,                 1.6783,                0.64117,                 1.0625,                0.59923,                0.57467,                 0.5429,                 0.2986,                0.57031,                0.51905,                0.45986,                0.17195,                 1.6183,                 2.3907,                 1.3203,                 1.5939,              0.0094357,              0.0094357,              0.0094357
                     60,                0.98086,                 1.7036,                0.65226,                 1.0646,                0.68591,                0.57673,                0.59355,                0.32254,                0.61576,                0.51822,                0.47948,                0.18479,                 1.6271,                 2.4427,                 1.2826,                 1.6188,              0.0094258,              0.0094258,              0.0094258
                     61,                0.96926,                 1.6795,                0.64489,                 1.0535,                0.67448,                0.53347,                0.56666,                0.31228,                0.60172,                  0.459,                  0.443,                0.15998,                 1.6189,                 2.4696,                 1.2752,                 1.6097,              0.0094159,              0.0094159,              0.0094159
                     62,                0.95943,                 1.6637,                0.63957,                 1.0554,                0.67142,                 0.5932,                0.60905,                  0.331,                0.64322,                0.52545,                0.51658,                0.19685,                 1.6047,                 2.3627,                 1.1811,                 1.5719,               0.009406,               0.009406,               0.009406
                     63,                0.94876,                 1.6355,                0.62615,                 1.0447,                0.64931,                 0.5757,                0.58785,                0.32236,                0.59877,                0.50669,                0.47412,                0.17522,                  1.596,                 2.3918,                 1.2348,                 1.5877,              0.0093961,              0.0093961,              0.0093961
                     64,                 0.9542,                 1.6479,                0.61612,                 1.0467,                0.67433,                0.59114,                0.60924,                0.33267,                 0.6296,                0.53568,                0.51652,                0.19593,                 1.5851,                 2.3658,                 1.2367,                  1.585,              0.0093862,              0.0093862,              0.0093862
                     65,                0.94534,                 1.6482,                0.62208,                 1.0449,                0.67419,                0.55835,                0.60371,                0.32978,                0.60691,                0.50978,                 0.4977,                0.18657,                 1.5793,                 2.4192,                  1.202,                 1.5759,              0.0093763,              0.0093763,              0.0093763
                     66,                0.94074,                 1.6513,                0.61493,                 1.0441,                0.69253,                0.58393,                0.60429,                0.33016,                0.62669,                0.52385,                0.50215,                0.19059,                 1.5992,                 2.4379,                 1.2262,                 1.5773,              0.0093664,              0.0093664,              0.0093664
                     67,                0.93804,                 1.6146,                  0.619,                 1.0438,                0.67402,                0.57467,                0.59434,                0.32829,                0.60967,                0.52935,                0.49428,                0.18464,                 1.5826,                   2.46,                 1.1961,                 1.5873,              0.0093565,              0.0093565,              0.0093565
                     68,                0.93319,                 1.6066,                0.61069,                 1.0388,                0.68633,                0.59011,                0.61636,                0.33534,                 0.6176,                0.51081,                0.49288,                0.18489,                 1.6138,                 2.4012,                 1.2261,                 1.5903,              0.0093466,              0.0093466,              0.0093466
                     69,                0.92413,                 1.5883,                0.60411,                 1.0349,                0.67674,                0.59217,                0.61921,                0.34225,                0.61189,                0.52283,                0.50081,                0.18602,                 1.5705,                 2.3991,                 1.2187,                 1.5688,              0.0093367,              0.0093367,              0.0093367
                     70,                 0.9326,                 1.6038,                0.60639,                 1.0391,                 0.6848,                0.57158,                0.61063,                0.34247,                0.63724,                0.52214,                0.51834,                 0.1931,                 1.5781,                 2.4374,                 1.1858,                 1.5747,              0.0093268,              0.0093268,              0.0093268
                     71,                0.92515,                 1.5921,                0.60617,                 1.0364,                0.66722,                0.54892,                0.57398,                0.31824,                0.56615,                0.52008,                0.47483,                0.18107,                 1.6239,                 2.4508,                 1.3032,                 1.6091,              0.0093169,              0.0093169,              0.0093169
                     72,                0.92226,                 1.5995,                0.59723,                 1.0344,                0.66765,                0.56068,                0.57838,                0.31015,                0.61008,                0.51081,                 0.4893,                0.18397,                 1.6714,                 2.3936,                 1.2493,                 1.6653,               0.009307,               0.009307,               0.009307
                     73,                0.92545,                 1.6123,                0.60037,                  1.035,                0.65577,                0.56025,                0.57489,                0.31112,                 0.5795,                0.50875,                0.46533,                0.17745,                 1.6118,                 2.4603,                 1.3686,                 1.6007,              0.0092971,              0.0092971,              0.0092971
                     74,                0.91615,                 1.6038,                0.59918,                 1.0314,                0.69751,                0.56334,                0.59721,                0.32451,                0.62453,                0.50704,                0.48719,                 0.1804,                 1.6251,                 2.4676,                 1.2027,                 1.6175,              0.0092872,              0.0092872,              0.0092872
                     75,                0.90648,                 1.5943,                0.58367,                 1.0277,                0.65063,                0.60413,                0.60926,                0.33465,                0.57379,                0.53244,                0.50013,                 0.1881,                 1.6647,                 2.4488,                 1.2719,                 1.6375,              0.0092773,              0.0092773,              0.0092773
                     76,                0.90818,                 1.5716,                  0.591,                 1.0308,                0.65579,                0.61021,                 0.6287,                0.34565,                0.66624,                0.53861,                0.54931,                 0.2106,                 1.5724,                 2.3625,                 1.1289,                 1.5747,              0.0092674,              0.0092674,              0.0092674
                     77,                0.91375,                 1.5732,                0.58922,                 1.0335,                0.66921,                0.58702,                 0.6021,                0.32872,                0.61022,                 0.5551,                0.51271,                0.18854,                 1.6014,                 2.3394,                 1.2192,                 1.6084,              0.0092575,              0.0092575,              0.0092575
                     78,                0.91208,                 1.5805,                0.58558,                 1.0302,                0.66378,                0.59938,                 0.6182,                0.34062,                0.60196,                0.55201,                0.52579,                0.20008,                 1.5651,                 2.4534,                 1.1704,                 1.5957,              0.0092476,              0.0092476,              0.0092476
